  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

------------------------------------------------
               Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.
------------------------------------------------

1995 001    3.30    4.93    4.64    4.51    4.68
1995 002    3.30    4.79    4.65    4.51    4.68
1995 003    3.30    4.73    4.65    4.52    4.68
1995 004    3.30    4.73    4.65    4.39    4.61
1995 005    3.37    4.15    3.30    2.68    4.27
1995 006    3.37    4.15    3.30    2.68    4.28
1995 007    3.31    4.10    3.31    2.68    4.16
1995 008    3.31    4.05    3.26    2.60    4.16
1995 009    3.29    3.87    3.26    2.60    4.13
1995 010    3.29    3.87    3.26    2.60    3.98
1995 011    3.29    3.87    3.26    2.61    3.99
1995 012    3.30    3.87    3.26    2.61    3.99
1995 013    3.30    3.87    3.26    2.61    3.99
1995 014    3.30    3.87    3.26    2.61    4.00
1995 015    3.30    3.88    3.26    2.61    4.00
1995 016    3.30    3.88    3.26    2.61    4.00
1995 017    3.17    3.78    3.28    2.61    4.00
1995 018    3.17    3.78    3.28    2.61    4.00
1995 019    2.41    1.79    3.24    2.61    3.78
1995 020    2.42    1.88    3.24    2.61    3.78
1995 021    2.42    1.88    3.24    2.61    3.78
1995 022    2.42    1.89    3.24    2.61    3.78
1995 023    2.42    1.89    3.25    2.61    3.78
1995 024    2.42    1.89    3.25    2.61    3.79
1995 025    2.22    2.70    3.27    2.61    3.79
1995 026    2.44    3.15    3.27    2.61    3.79
1995 027    2.50    3.40    3.14    1.11    3.02
1995 028    2.13    3.07    2.54    1.52    3.33
1995 029    2.13    3.08    1.98    1.52    3.33
1995 030    2.14    2.29    2.00    1.43    3.31
1995 031    2.21    2.29    2.00    1.43    3.31
1995 032    2.21    2.29    2.01    1.43    3.31
1995 033    2.31    2.52    2.25    0.87    3.17
1995 034    2.31    2.52    2.25    0.93    3.17
1995 035    2.31    2.52    2.25    0.93    3.17
1995 036    2.31    2.52    2.25    0.93    3.17
1995 037    2.24    2.48    2.25    0.93    3.12
1995 038    2.24    2.48    2.25    0.93    3.12
1995 039    2.24    2.48    2.25    0.93    3.12
1995 040    2.22    2.49    2.25    0.93    3.13
1995 041    2.17    1.92    1.66    0.93    3.09
1995 042    2.17    2.33    1.69    0.93    3.09
1995 043    2.17    2.34    1.69    0.93    3.09
1995 044    2.17    2.34    1.69    0.93    3.09
1995 045    2.17    2.56    1.68    0.93    2.31
1995 046    2.17    2.56    1.68    0.93    2.31
1995 047    2.17    2.57    1.65    0.93    2.34
1995 048    2.17    1.39    1.31    1.07    2.41
1995 049    2.17    1.45    0.77    0.97    2.23
1995 050    2.17    2.09    0.86    1.03    2.22
1995 051    2.17    1.89    0.89    0.72    2.13
1995 052    2.12    1.89    1.36    0.73    2.01
1995 053    2.12    1.89    1.37    0.73    2.02
1995 054    2.12    2.00    1.36    0.73    1.68
1995 055    2.12    2.00    1.36    0.73    1.69
1995 056    2.02    1.98    1.31    0.71    1.75
1995 057    2.02    1.98    1.28    0.71    2.19
1995 058    2.02    1.98    1.28    0.71    2.20
1995 059    2.02    1.98    1.28    0.71    2.20
1995 060    2.02    1.97    1.25    0.71    1.85
