longitude, latitude, altitude, time, station, wd, wspd, atmp, wtmp
degrees_east, degrees_north, m, UTC, , degrees_true, m s-1, degree_C, degree_C
-122.88, 37.36, 0.0, 2006-01-01T00:00:00Z, 46012, 254, 3.5, 13.6, 12.9
-122.88, 37.36, 0.0, 2006-01-01T01:00:00Z, 46012, 215, 3.4, 13.3, 12.9
-122.88, 37.36, 0.0, 2006-01-01T02:00:00Z, 46012, 229, 5.2, 13.3, 12.9
-122.88, 37.36, 0.0, 2006-01-01T03:00:00Z, 46012, 225, 4.6, 13.4, 12.9
-122.88, 37.36, 0.0, 2006-01-01T04:00:00Z, 46012, 199, 3.5, 13.3, 12.9
-122.88, 37.36, 0.0, 2006-01-01T05:00:00Z, 46012, 170, 3.8, 13.3, 12.9
-122.88, 37.36, 0.0, 2006-01-01T06:00:00Z, 46012, 157, 5.6, 13.3, 12.9
-122.88, 37.36, 0.0, 2006-01-01T07:00:00Z, 46012, 154, 6.5, 12.9, 12.9
-122.88, 37.36, 0.0, 2006-01-01T08:00:00Z, 46012, 154, 8.0, 12.9, 12.9
-122.88, 37.36, 0.0, 2006-01-01T09:00:00Z, 46012, 151, 7.9, 12.8, 12.8
-122.88, 37.36, 0.0, 2006-01-01T10:00:00Z, 46012, 157, 9.3, 12.9, 12.8
-122.88, 37.36, 0.0, 2006-01-01T11:00:00Z, 46012, 148, 9.4, 12.8, 12.8
-122.88, 37.36, 0.0, 2006-01-01T12:00:00Z, 46012, 142, 10.1, 12.1, 12.6
-122.88, 37.36, 0.0, 2006-01-01T13:00:00Z, 46012, 138, 11.6, 12.2, 12.6
-122.88, 37.36, 0.0, 2006-01-01T14:00:00Z, 46012, 151, 11.4, 13.1, 12.6
-122.88, 37.36, 0.0, 2006-01-01T15:00:00Z, 46012, 156, 13.9, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-01T16:00:00Z, 46012, 146, 14.4, 12.7, 12.6
-122.88, 37.36, 0.0, 2006-01-01T17:00:00Z, 46012, 146, 17.6, 13.2, 12.6
-122.88, 37.36, 0.0, 2006-01-01T18:00:00Z, 46012, 155, 16.9, 13.4, 12.5
-122.88, 37.36, 0.0, 2006-01-01T19:00:00Z, 46012, 156, 17.6, 13.6, 12.5
-122.88, 37.36, 0.0, 2006-01-01T20:00:00Z, 46012, 150, 17.0, 13.4, 12.5
-122.88, 37.36, 0.0, 2006-01-01T21:00:00Z, 46012, 157, 18.9, 13.4, 12.5
-122.88, 37.36, 0.0, 2006-01-01T22:00:00Z, 46012, 158, 17.2, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-01T23:00:00Z, 46012, 157, 15.4, 12.2, 12.5
-122.88, 37.36, 0.0, 2006-01-02T00:00:00Z, 46012, 164, 14.8, 12.8, 12.5
-122.88, 37.36, 0.0, 2006-01-02T01:00:00Z, 46012, 256, 8.1, 12.2, 12.5
-122.88, 37.36, 0.0, 2006-01-02T02:00:00Z, 46012, 150, 5.2, 11.8, 12.5
-122.88, 37.36, 0.0, 2006-01-02T03:00:00Z, 46012, 118, 3.0, 12.1, 12.5
-122.88, 37.36, 0.0, 2006-01-02T04:00:00Z, 46012, 168, 3.1, 12.5, 12.5
-122.88, 37.36, 0.0, 2006-01-02T05:00:00Z, 46012, 183, 3.9, 12.7, 12.5
-122.88, 37.36, 0.0, 2006-01-02T06:00:00Z, 46012, 185, 5.2, 12.9, 12.6
-122.88, 37.36, 0.0, 2006-01-02T07:00:00Z, 46012, 182, 4.8, 12.9, 12.6
-122.88, 37.36, 0.0, 2006-01-02T08:00:00Z, 46012, 180, 5.3, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-02T09:00:00Z, 46012, 170, 4.2, 13.2, 12.6
-122.88, 37.36, 0.0, 2006-01-02T10:00:00Z, 46012, 160, 4.9, 12.9, 12.6
-122.88, 37.36, 0.0, 2006-01-02T11:00:00Z, 46012, 138, 4.3, 12.8, 12.6
-122.88, 37.36, 0.0, 2006-01-02T12:00:00Z, 46012, 157, 4.7, 12.8, 12.6
-122.88, 37.36, 0.0, 2006-01-02T13:00:00Z, 46012, 151, 3.7, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-02T14:00:00Z, 46012, 114, 3.1, 12.3, 12.5
-122.88, 37.36, 0.0, 2006-01-02T15:00:00Z, 46012, 81, 3.8, 12.2, 12.5
-122.88, 37.36, 0.0, 2006-01-02T16:00:00Z, 46012, 118, 2.3, 12.1, 12.5
-122.88, 37.36, 0.0, 2006-01-02T17:00:00Z, 46012, 85, 5.2, 11.8, 12.5
-122.88, 37.36, 0.0, 2006-01-02T18:00:00Z, 46012, 68, 5.2, 11.7, 12.5
-122.88, 37.36, 0.0, 2006-01-02T19:00:00Z, 46012, 33, 6.1, 11.7, 12.5
-122.88, 37.36, 0.0, 2006-01-02T20:00:00Z, 46012, 348, 9.9, 11.4, 12.5
-122.88, 37.36, 0.0, 2006-01-02T21:00:00Z, 46012, 334, 10.9, 11.6, 12.5
-122.88, 37.36, 0.0, 2006-01-02T22:00:00Z, 46012, 2, 8.0, 12.1, 12.5
-122.88, 37.36, 0.0, 2006-01-02T23:00:00Z, 46012, 329, 7.2, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T00:00:00Z, 46012, 314, 7.7, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T01:00:00Z, 46012, 305, 8.8, 13.0, 12.5
-122.88, 37.36, 0.0, 2006-01-03T02:00:00Z, 46012, 295, 9.8, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T03:00:00Z, 46012, 296, 9.4, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-03T04:00:00Z, 46012, 298, 8.7, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-03T05:00:00Z, 46012, 300, 7.7, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-03T06:00:00Z, 46012, 314, 5.0, 12.5, 12.5
-122.88, 37.36, 0.0, 2006-01-03T07:00:00Z, 46012, 297, 3.9, 12.5, 12.5
-122.88, 37.36, 0.0, 2006-01-03T08:00:00Z, 46012, 260, 4.1, 12.5, 12.5
-122.88, 37.36, 0.0, 2006-01-03T09:00:00Z, 46012, 236, 2.4, 12.5, 12.5
-122.88, 37.36, 0.0, 2006-01-03T10:00:00Z, 46012, 186, 3.1, 12.5, 12.4
-122.88, 37.36, 0.0, 2006-01-03T11:00:00Z, 46012, 176, 4.6, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-03T12:00:00Z, 46012, 163, 5.7, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-03T13:00:00Z, 46012, 154, 7.9, 12.6, 12.5
-122.88, 37.36, 0.0, 2006-01-03T14:00:00Z, 46012, 170, 7.8, 12.8, 12.5
-122.88, 37.36, 0.0, 2006-01-03T15:00:00Z, 46012, 155, 9.3, 12.8, 12.5
-122.88, 37.36, 0.0, 2006-01-03T16:00:00Z, 46012, 169, 9.3, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T17:00:00Z, 46012, 159, 9.8, 12.8, 12.5
-122.88, 37.36, 0.0, 2006-01-03T18:00:00Z, 46012, 160, 8.8, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T19:00:00Z, 46012, 158, 9.7, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T20:00:00Z, 46012, 155, 10.3, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T21:00:00Z, 46012, 152, 10.9, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T22:00:00Z, 46012, 156, 11.1, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-03T23:00:00Z, 46012, 154, 11.5, 12.8, 12.5
-122.88, 37.36, 0.0, 2006-01-04T00:00:00Z, 46012, 154, 10.9, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-04T01:00:00Z, 46012, 158, 10.3, 12.8, 12.5
-122.88, 37.36, 0.0, 2006-01-04T02:00:00Z, 46012, 157, 10.0, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-04T03:00:00Z, 46012, 154, 10.5, 13.3, 12.5
-122.88, 37.36, 0.0, 2006-01-04T04:00:00Z, 46012, 166, 10.1, 13.4, 12.5
-122.88, 37.36, 0.0, 2006-01-04T05:00:00Z, 46012, 160, 9.4, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-04T06:00:00Z, 46012, 166, 9.5, 12.9, 12.5
-122.88, 37.36, 0.0, 2006-01-04T07:00:00Z, 46012, 160, 9.2, 13.1, 12.5
-122.88, 37.36, 0.0, 2006-01-04T08:00:00Z, 46012, 159, 8.5, 13.0, 12.5
-122.88, 37.36, 0.0, 2006-01-04T09:00:00Z, 46012, 161, 8.3, 13.3, 12.5
-122.88, 37.36, 0.0, 2006-01-04T10:00:00Z, 46012, 160, 7.5, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-04T11:00:00Z, 46012, 150, 7.3, 13.1, 12.6
-122.88, 37.36, 0.0, 2006-01-04T12:00:00Z, 46012, 148, 6.7, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-04T13:00:00Z, 46012, 149, 6.2, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-04T14:00:00Z, 46012, 141, 6.5, 13.2, 12.6
-122.88, 37.36, 0.0, 2006-01-04T15:00:00Z, 46012, 125, 5.6, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-04T16:00:00Z, 46012, 128, 4.7, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-04T17:00:00Z, 46012, 124, 3.7, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-04T18:00:00Z, 46012, 134, 3.3, 13.6, 12.6
-122.88, 37.36, 0.0, 2006-01-04T19:00:00Z, 46012, 177, 2.1, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-04T20:00:00Z, 46012, 318, 1.5, 13.3, 12.8
-122.88, 37.36, 0.0, 2006-01-04T21:00:00Z, 46012, 344, 2.2, 13.4, 12.8
-122.88, 37.36, 0.0, 2006-01-04T22:00:00Z, 46012, 353, 3.1, 13.4, 12.9
-122.88, 37.36, 0.0, 2006-01-04T23:00:00Z, 46012, 47, 6.0, 13.4, 12.8
-122.88, 37.36, 0.0, 2006-01-05T00:00:00Z, 46012, 48, 5.6, 13.7, 12.8
-122.88, 37.36, 0.0, 2006-01-05T01:00:00Z, 46012, 42, 3.6, 13.7, 12.8
-122.88, 37.36, 0.0, 2006-01-05T02:00:00Z, 46012, 3, 2.7, 13.7, 12.6
-122.88, 37.36, 0.0, 2006-01-05T03:00:00Z, 46012, 50, 4.1, 13.7, 12.6
-122.88, 37.36, 0.0, 2006-01-05T04:00:00Z, 46012, 71, 2.6, 13.7, 12.8
-122.88, 37.36, 0.0, 2006-01-05T05:00:00Z, 46012, 81, 4.5, 13.7, 12.6
-122.88, 37.36, 0.0, 2006-01-05T06:00:00Z, 46012, 89, 2.9, 13.6, 12.8
-122.88, 37.36, 0.0, 2006-01-05T07:00:00Z, 46012, 79, 2.5, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-05T08:00:00Z, 46012, 56, 2.8, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-05T09:00:00Z, 46012, 58, 3.0, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-05T10:00:00Z, 46012, 102, 3.5, 13.4, 12.8
-122.88, 37.36, 0.0, 2006-01-05T11:00:00Z, 46012, 115, 2.4, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-05T12:00:00Z, 46012, 105, 1.9, 13.3, 12.6
-122.88, 37.36, 0.0, 2006-01-05T13:00:00Z, 46012, 345, 3.1, 12.9, 12.6
-122.88, 37.36, 0.0, 2006-01-05T14:00:00Z, 46012, 55, 2.2, 13.6, 12.6
-122.88, 37.36, 0.0, 2006-01-05T15:00:00Z, 46012, 3, 2.0, 13.4, 12.6
-122.88, 37.36, 0.0, 2006-01-05T16:00:00Z, 46012, 0, 0.3, 13.7, 12.6
