This is a header line.
*** END OF HEADER
# a comment line
longitude, latitude, altitude, time, station, wd, wspd, atmp, wtmp
# a comment line
degrees_east, degrees_north, m, UTC, , degrees_true, m s-1, degree_C, degree_C
# a comment line
-121.89, 35.74, 0.0, 2005-01-01T00:00:00Z, 46028, NaN, NaN, NaN, NaN
# a comment line
# a comment line
-121.89, 35.74, 0.0, 2005-01-01T01:00:00Z, 46028, 248, 4.7, 12.6, 13.9
-121.89, 35.74, 0.0, 2005-01-01T02:00:00Z, 46028, 240, 5.0, 12.5, 13.8
-121.89, 35.74, 0.0, 2005-01-01T03:00:00Z, 46028, 230, 5.2, 12.6, 13.8
-121.89, 35.74, 0.0, 2005-01-01T04:00:00Z, 46028, 209, 6.3, 12.6, 13.8
-121.89, 35.74, 0.0, 2005-01-01T05:00:00Z, 46028, 211, 7.0, 12.8, 13.8
-121.89, 35.74, 0.0, 2005-01-01T06:00:00Z, 46028, 229, 5.9, 11.5, 13.8
-121.89, 35.74, 0.0, 2005-01-01T07:00:00Z, 46028, 230, 7.5, 12.3, 13.8
-121.89, 35.74, 0.0, 2005-01-01T08:00:00Z, 46028, 271, 6.1, 12.5, 13.8
-121.89, 35.74, 0.0, 2005-01-01T09:00:00Z, 46028, 263, 6.8, 12.3, 13.8
-121.89, 35.74, 0.0, 2005-01-01T10:00:00Z, 46028, 272, 5.5, 12.3, 13.7
-121.89, 35.74, 0.0, 2005-01-01T11:00:00Z, 46028, NaN, NaN, NaN, NaN
-121.89, 35.74, 0.0, 2005-01-01T12:00:00Z, 46028, 285, 5.2, 11.7, 13.7
-121.89, 35.74, 0.0, 2005-01-01T13:00:00Z, 46028, 277, 4.1, 11.9, 13.7
-121.89, 35.74, 0.0, 2005-01-01T14:00:00Z, 46028, 290, 3.0, 12.1, 13.7
-121.89, 35.74, 0.0, 2005-01-01T15:00:00Z, 46028, 285, 3.3, 12.1, 13.6
-121.89, 35.74, 0.0, 2005-01-01T16:00:00Z, 46028, 278, 2.3, 12.0, 13.6
-121.89, 35.74, 0.0, 2005-01-01T17:00:00Z, 46028, 238, 2.0, 11.8, 13.7
-121.89, 35.74, 0.0, 2005-01-01T18:00:00Z, 46028, 254, 2.0, 12.2, 13.8
-121.89, 35.74, 0.0, 2005-01-01T19:00:00Z, 46028, 217, 1.5, 12.4, 13.8
-121.89, 35.74, 0.0, 2005-01-01T20:00:00Z, 46028, 230, 2.2, 12.4, 13.8
-121.89, 35.74, 0.0, 2005-01-01T21:00:00Z, 46028, 238, 2.8, 12.3, 13.9
-121.89, 35.74, 0.0, 2005-01-01T22:00:00Z, 46028, 235, 2.4, 12.3, 13.9
-121.89, 35.74, 0.0, 2005-01-01T23:00:00Z, 46028, 254, 2.9, 12.4, 13.9
-121.89, 35.74, 0.0, 2005-01-02T00:00:00Z, 46028, 259, 1.6, 12.6, 13.9
-121.89, 35.74, 0.0, 2005-01-02T01:00:00Z, 46028, 250, 1.7, 12.1, 13.8
-121.89, 35.74, 0.0, 2005-01-02T02:00:00Z, 46028, 244, 1.2, 11.9, 13.8
-121.89, 35.74, 0.0, 2005-01-02T03:00:00Z, 46028, 256, 1.7, 11.9, 13.8
-121.89, 35.74, 0.0, 2005-01-02T04:00:00Z, 46028, 241, 2.0, 12.0, 13.7
-121.89, 35.74, 0.0, 2005-01-02T05:00:00Z, 46028, 260, 1.2, 11.7, 13.6
-121.89, 35.74, 0.0, 2005-01-02T06:00:00Z, 46028, 221, 2.3, 11.9, 13.6
-121.89, 35.74, 0.0, 2005-01-02T07:00:00Z, 46028, 202, 1.4, 11.7, 13.6
-121.89, 35.74, 0.0, 2005-01-02T08:00:00Z, 46028, 152, 2.0, 11.8, 13.5
-121.89, 35.74, 0.0, 2005-01-02T09:00:00Z, 46028, 144, 2.5, 11.1, 13.5
-121.89, 35.74, 0.0, 2005-01-02T10:00:00Z, 46028, 204, 2.2, 11.3, 13.6
-121.89, 35.74, 0.0, 2005-01-02T11:00:00Z, 46028, 170, 3.7, 11.4, 13.6
-121.89, 35.74, 0.0, 2005-01-02T12:00:00Z, 46028, 201, 4.2, 11.8, 13.7
-121.89, 35.74, 0.0, 2005-01-02T13:00:00Z, 46028, 199, 4.8, 11.9, 13.8
-121.89, 35.74, 0.0, 2005-01-02T14:00:00Z, 46028, 188, 4.8, 11.7, 13.8
-121.89, 35.74, 0.0, 2005-01-02T15:00:00Z, 46028, 198, 4.4, 11.8, 13.9
-121.89, 35.74, 0.0, 2005-01-02T16:00:00Z, 46028, 195, 5.1, 11.8, 13.8
-121.89, 35.74, 0.0, 2005-01-02T17:00:00Z, 46028, 210, 5.9, 12.0, 13.8
-121.89, 35.74, 0.0, 2005-01-02T18:00:00Z, 46028, 207, 6.3, 12.1, 13.8
-121.89, 35.74, 0.0, 2005-01-02T19:00:00Z, 46028, 200, 8.1, 12.4, 13.8
-121.89, 35.74, 0.0, 2005-01-02T20:00:00Z, 46028, 201, 8.3, 12.3, 13.9
-121.89, 35.74, 0.0, 2005-01-02T21:00:00Z, 46028, 194, 8.2, 12.1, 13.9
-121.89, 35.74, 0.0, 2005-01-02T22:00:00Z, 46028, 177, 8.8, 11.7, 13.9
-121.89, 35.74, 0.0, 2005-01-02T23:00:00Z, 46028, 176, 5.9, 10.9, 13.9
-121.89, 35.74, 0.0, 2005-01-03T00:00:00Z, 46028, 176, 8.0, 11.7, 13.9
-121.89, 35.74, 0.0, 2005-01-03T01:00:00Z, 46028, 175, 8.0, 12.3, 13.9
-121.89, 35.74, 0.0, 2005-01-03T02:00:00Z, 46028, 246, 7.0, 10.1, 13.9
-121.89, 35.74, 0.0, 2005-01-03T03:00:00Z, 46028, 212, 7.2, 10.8, 13.9
-121.89, 35.74, 0.0, 2005-01-03T04:00:00Z, 46028, 239, 6.5, 10.4, 13.9
-121.89, 35.74, 0.0, 2005-01-03T05:00:00Z, 46028, 243, 4.7, 10.2, 14.0
-121.89, 35.74, 0.0, 2005-01-03T06:00:00Z, 46028, 283, 5.1, 10.5, 13.9
-121.89, 35.74, 0.0, 2005-01-03T07:00:00Z, 46028, 282, 4.7, 10.7, 13.9
-121.89, 35.74, 0.0, 2005-01-03T08:00:00Z, 46028, 303, 4.1, 10.5, 13.9
-121.89, 35.74, 0.0, 2005-01-03T09:00:00Z, 46028, 299, 3.1, 10.1, 13.9
-121.89, 35.74, 0.0, 2005-01-03T10:00:00Z, 46028, 99, 0.8, 10.0, 13.9
-121.89, 35.74, 0.0, 2005-01-03T11:00:00Z, 46028, 221, 1.0, 10.3, 13.9
-121.89, 35.74, 0.0, 2005-01-03T12:00:00Z, 46028, 289, 4.9, 9.8, 13.9
-121.89, 35.74, 0.0, 2005-01-03T13:00:00Z, 46028, 359, 1.7, 10.1, 13.8
-121.89, 35.74, 0.0, 2005-01-03T14:00:00Z, 46028, 358, 3.1, 10.1, 13.8
-121.89, 35.74, 0.0, 2005-01-03T15:00:00Z, 46028, 352, 3.5, 10.2, 14.0
-121.89, 35.74, 0.0, 2005-01-03T16:00:00Z, 46028, 359, 4.1, 10.1, 14.0
-121.89, 35.74, 0.0, 2005-01-03T17:00:00Z, 46028, 21, 3.1, 10.0, 13.9
-121.89, 35.74, 0.0, 2005-01-03T18:00:00Z, 46028, 8, 1.8, 10.6, 13.8
-121.89, 35.74, 0.0, 2005-01-03T19:00:00Z, 46028, 15, 1.7, 10.6, 13.9
-121.89, 35.74, 0.0, 2005-01-03T20:00:00Z, 46028, 72, 1.5, 10.8, 14.1
-121.89, 35.74, 0.0, 2005-01-03T21:00:00Z, 46028, 27, 1.6, 10.8, 14.0
-121.89, 35.74, 0.0, 2005-01-03T22:00:00Z, 46028, 16, 1.3, 11.1, 14.0
-121.89, 35.74, 0.0, 2005-01-03T23:00:00Z, 46028, 332, 3.1, 10.9, 14.0
-121.89, 35.74, 0.0, 2005-01-04T00:00:00Z, 46028, 345, 1.1, 11.3, 14.0
-121.89, 35.74, 0.0, 2005-01-04T01:00:00Z, 46028, 345, 2.6, 10.9, 14.0
-121.89, 35.74, 0.0, 2005-01-04T02:00:00Z, 46028, 341, 2.8, 10.9, 14.0
-121.89, 35.74, 0.0, 2005-01-04T03:00:00Z, 46028, 339, 2.8, 11.1, 14.0
