time,a,b
NaN-NaN-NaNTNaN:NaN,28.1,12.1
2004-12-03T15:55,29.32,12.2
2004-12-03T16:55,14.26,12.5
2004-12-03T17:55,14.26,12.2
2004-12-03T18:55,29.32,10.6
2004-12-03T19:55,9.50,10.2
2004-12-03T20:55,9.50,9.9
2004-12-03T21:55,14.26,9.6
2004-12-03T22:55,14.26,9.3
2004-12-03T23:55,9.50,9.2
2004-12-04T00:55,14.26,9.8
2004-12-04T01:55,14.26,9.6
2004-12-04T02:55,14.26,9.4
2004-12-04T03:55,14.26,9.2
2004-12-04T04:55,29.32,9.2
2004-12-04T05:55,22.65,9.2
2004-12-04T06:55,22.65,9.0
2004-12-04T07:55,22.65,9.2
2004-12-04T08:55,22.65,9.7
2004-12-04T09:55,22.65,9.7
2004-12-04T10:55,29.32,10.6
2004-12-04T11:55,84.95,12.6
2004-12-04T12:55,75.51,12.2
2004-12-04T13:55,84.95,12.2
2004-12-04T14:55,84.95,12.3
2004-12-04T15:55,75.51,12.2
2004-12-04T16:55,42.48,12.0
2004-12-04T17:55,29.32,12.8
2004-12-04T18:55,56.63,12.6
2004-12-04T19:55,56.63,12.6
2004-12-04T20:55,29.32,12.5
2004-12-04T21:55,22.65,12.3
2004-12-04T22:55,42.48,12.2
2004-12-04T23:55,56.63,12.2
2004-12-05T00:55,42.48,10.9
2004-12-05T01:55,29.32,10.8
2004-12-05T02:55,42.48,10.7
2004-12-05T03:55,56.63,10.7
2004-12-05T04:55,66.07,10.7
2004-12-05T05:55,29.32,10.6
2004-12-05T06:55,56.63,10.4
2004-12-05T07:55,56.63,10.4
2004-12-05T08:55,22.65,10.3
2004-12-05T09:55,42.48,10.2
2004-12-05T10:55,42.48,10.2
2004-12-05T11:55,29.32,10.2
2004-12-05T12:55,42.48,10.3
2004-12-05T13:55,56.63,10.7
2004-12-05T14:55,66.07,10.8
2004-12-05T15:55,66.07,10.9
2004-12-05T16:55,42.48,10.9
2004-12-05T17:55,42.48,10.7
2004-12-05T18:55,29.32,10.5
2004-12-05T19:55,22.65,10.4
2004-12-05T20:55,29.32,10.3
2004-12-05T21:55,42.48,10.2
2004-12-05T22:55,29.32,10.2
2004-12-05T23:55,42.48,10.0
2004-12-06T00:55,14.26,9.8
2004-12-06T01:55,42.48,9.6
2004-12-06T02:55,14.26,9.6
2004-12-06T03:55,14.26,9.6
2004-12-06T04:55,14.26,9.6
2004-12-06T05:55,14.26,9.7
2004-12-06T06:55,29.32,9.6
2004-12-06T07:55,14.26,9.6
2004-12-06T08:55,22.65,9.8
2004-12-06T09:55,29.32,10.4
2004-12-06T10:55,42.48,12.2
2004-12-06T11:55,56.63,12.9
2004-12-06T12:55,42.48,12.4
2004-12-06T13:55,66.07,12.7
2004-12-06T14:55,42.48,12.9
2004-12-06T15:55,75.51,12.9
2004-12-06T16:55,42.48,12.5
2004-12-06T17:55,42.48,12.2
2004-12-06T18:55,42.48,12.8
